"address","mtgroup","lat","long","mtlocation","wheelchair","mtday","mtstart","mtend","mttype","mtspin","mtzone"
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Tuesday","8:00 PM","9:00 PM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Sunday","8:00 PM","9:00 PM","B","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Thursday","8:00 PM","9:00 PM","C","Men",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Wednesday","8:00 PM","9:00 PM","S","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Monday","8:00 PM","9:00 PM","B","Women",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Friday","10:00 PM","11:00 PM","OD","null",5
"619 LEXINGTON AVE New York, NY","REBELLION DOGS","40.6894374","-73.9367705","St. Peter''s Lutheran Church @ CitiCorp Center",true,"Tuesday","7:30 AM","8:30 AM","C","Living Sober",5
"240 E 31ST ST New York, NY","SATURDAY EAST","40.6447249","-73.948097","Church of the Good Shepherd",true,"Saturday","4:00 PM","5:00 PM","C","null",5
"114 E 35TH ST New York, NY","SATURDAY STEP","40.7473169","-73.9800724","The New York New Church",true,"Saturday","10:00 AM","11:00 AM","S","null",5
"230 E 60TH ST New York, NY","SERENITY EAST","40.7615607","-73.9649474","ALL SAINTS CHURCH",false,"Tuesday","7:30 AM","8:30 AM","BB","null",5
"230 E 60TH ST New York, NY","SERENITY EAST","40.7615607","-73.9649474","ALL SAINTS CHURCH",false,"Friday","6:30 PM","7:30 PM","S","null",5
"230 E 60TH ST New York, NY","SERENITY EAST","40.7615607","-73.9649474","ALL SAINTS CHURCH",false,"Friday","8:00 PM","9:00 PM","B","null",5
"244 E 58TH ST New York, NY","SERENITY EAST (:I)","40.7600925","-73.9653811","Caron Foundation",true,"Tuesday","5:30 PM","6:30 PM","BB","null",5
"619 LEXINGTON AVE New York, NY","SILKWORTH WOMEN''S","40.7588016","-73.9704542","St. Peter''s Lutheran Church @ CitiCorp Center",true,"Thursday","12:30 PM","1:30 PM","C","Women",5
"325 PARK AVE New York, NY","ST. BART''S TWELVE THIRTIES","40.7574552","-73.9733937","St. Bartholomew''s Church",false,"Friday","12:30 PM","1:30 PM","BB","null",5
"325 PARK AVE New York, NY","ST. BART''S TWELVE THIRTIES","40.7574552","-73.9733937","St. Bartholomew''s Church",false,"Monday","12:30 PM","1:30 PM","C","null",5
"325 PARK AVE New York, NY","ST. BART''S TWELVE THIRTIES","40.7574552","-73.9733937","St. Bartholomew''s Church",false,"Wednesday","12:30 PM","1:30 PM","S","null",5
"236 E 31ST ST New York, NY","STRAIGHT 12","40.74314","-73.9781525","CHURCH OF THE GOOD SHEPARD",false,"Saturday","6:00 PM","7:00 PM","C","Promises",5
"236 E 31ST ST New York, NY","STRAIGHT 12","40.74314","-73.9781525","CHURCH OF THE GOOD SHEPARD",false,"Saturday","7:15 PM","8:15 PM","B","null",5
"236 E 31ST ST New York, NY","STRAIGHT 12","40.74314","-73.9781525","CHURCH OF THE GOOD SHEPARD",false,"Saturday","8:30 PM","9:30 PM","OD","null",5
"308 E 55TH ST New York, NY","TEMPLETON","40.6501686","-73.9254937","Conservative Synagogue",false,"Wednesday","6:15 PM","7:15 PM","OD","null",5
"244 E 58TH ST New York, NY","TRAFALGAR","40.7600925","-73.9653811","The Caron Foundation",true,"Tuesday","6:45 PM","7:45 PM","OD","null",5
"244 E 58TH ST New York, NY","TUDOR","40.6492925","-73.9225408","Caron Foundation",true,"Thursday","6:15 PM","7:15 PM","OD","null",5
"109 E 50TH ST New York, NY","WOMEN''S ELEVENTH STEP","40.7569178","-73.97309","",true,"Wednesday","5:45 PM","7:15 PM","S","null",5
"35 E 125 ST New York, NY","125","40.805958","-73.940763","Harlem Children''s Zone Admin. Offices",true,"Saturday","4:15 PM","5:30 PM","B","null",9
"223 E 117TH ST New York, NY","EAST HARLEM","40.7982106","-73.9382769","Peter Jay Sharpe Building",true,"Tuesday","6:30 PM","7:30 PM","B","Living Sober",9
"2126 2ND AVE New York, NY","GRUPO NUEVA VIDA","40.7927121","-73.94069","",true,"Sunday","5:00 PM","6:00 PM","OD","null",9
"2126 2ND AVE New York, NY","GRUPO NUEVA VIDA","40.7927121","-73.94069","",true,"Monday","8:00 PM","9:00 PM","B","null",9
"2126 2ND AVE New York, NY","GRUPO NUEVA VIDA","40.7927121","-73.94069","",true,"Tuesday","8:00 PM","9:00 PM","OD","null",9
"2126 2ND AVE New York, NY","GRUPO NUEVA VIDA","40.7927121","-73.94069","",true,"Wednesday","8:00 PM","9:00 PM","C","null",9
"2126 2ND AVE New York, NY","GRUPO NUEVA VIDA","40.7927121","-73.94069","",true,"Thursday","8:00 PM","9:00 PM","OD","null",9
